,游戏名称,IDO,筹款目标,发行资产,Time of Crawl
1,League of Empires,IDO ON Poolz,"$250,000 ",Token Sale,2022/11/12
2,Project Hive,IDO ON Poolz,"$300,000 ",Token Sale,2022/11/12
3,SuperVet,IDO ON Kommunitas,"$100,000 ",Token Sale,2022/11/12
4,Boss Fighters,IDO ON Gamestarter,"$35,000 ",Token Sale,2022/11/12
5,League of Empires,IDO ON Enjinstarter,"$200,000 ",Token Sale,2022/11/12
6,Boss Fighters,IDO ON Infinity Pad,"$30,000 ",Token Sale,2022/11/12
7,StarSharks,The StarSharks Homeland NFT,"$270,000 ",NFT sale,2022/11/12
8,League of Kingdoms,LoK Drago Genesis NFT,"$195,000 ",NFT sale,2022/11/12
9,Engines of Fury,IDO ON GameFi,"$148,000 ",Token Sale,2022/11/12
10,Reign of Terror,IDO ON StarLaunch,"$12,500,000 ",Token Sale,2022/11/12
11,Legends of Elysium,IDO ON Poolz,"$200,000 ",Token Sale,2022/11/12
12,Animalia,IDO ON Synapse Network,"$50,000 ",Token Sale,2022/11/12
13,Animalia,IDO ON TrustPad,"$100,000 ",Token Sale,2022/11/12
14,Animalia,IDO ON PAID Network,"$200,000 ",Token Sale,2022/11/12
15,Crypto Citizen,IDO ON FireStarter,"$200,000 ",Token Sale,2022/11/12
16,Crypto Citizen,IDO ON Polkastarter,"$650,000 ",Token Sale,2022/11/12
17,Axes Metaverse,IDO ON Enjinstarter,"$300,000 ",Token Sale,2022/11/12
18,Chibi Dinos,IDO ON Gamestarter,"$250,000 ",Token Sale,2022/11/12
19,Chibi Dinos,IDO ON PAID Network,"$350,000 ",Token Sale,2022/11/12
20,Koakuma,IDO ON Gamestarter,"$150,000 ",Token Sale,2022/11/12
21,Bit Rivals,IDO ON Gamestarter,"$100,000 ",Token Sale,2022/11/12
22,GEMS - Esports 3.0 Platform,IDO ON DuckSTARTER,-,Token Sale,2022/11/12
23,Souls of Meta,IDO ON GameZone,-,Token Sale,2022/11/12
24,Adanimals,IDO ON PAID Network,-,Token Sale,2022/11/12
