,Project,Funding Rounds,Total Funding Amount,Investors,Date,Time of Crawl
1,Arcade,Seed Round,"$3,200,000 ","Crypto.com Capital, Solana Ventures, Shima Capital, Kucoin Labs, GSR","Oct 19, 2022",2022/11/12
2,Metaverse Magna,Seed Round,"$3,200,000 ","Tess Ventures, LD Capital, Gumi Cryptos, HashKey Capital","Sep 05, 2022",2022/11/12
3,Smash Stars,Pre-Seed Round,"$2,000,000 ",Play Ventures,"Oct 10, 2022",2022/11/12
4,Elyzio,Pre-Seed Round,"$2,000,000 ","Shima Capital, Solana Ventures","Oct 10, 2022",2022/11/12
5,Tribo,Pre-Seed Round,"$1,200,000 ",Play Ventures,"Oct 10, 2022",2022/11/12
6,Stardust,Series A Round,"$30,000,000 ","Framework Ventures, Blockchain Capital","Oct 18, 2022",2022/11/12
7,Homa,Series B Round,"$100,000,000 ","Northzone, Fabric Ventures","Oct 11, 2022",2022/11/12
8,Delysium,Strategic Round,"$10,000,000 ","AnthosCapital, Immutable Capital, GSR, Leonis Capital","Oct 17, 2022",2022/11/12
9,Horizon,Series A Round,"$40,000,000 ","Morgan Creek Digital, Brevan Howard","Oct 05, 2022",2022/11/12
10,AlterVerse,Unknown Round,-,"Binance Labs, Polygon, Enjinstarter","Oct 03, 2022",2022/11/12
11,Theorycraft Games,Series B Round,"$50,000,000 ","Makers Fund, a16z crypto","Sep 22, 2022",2022/11/12
12,Hadean,Series A Round,"$30,000,000 ","2050, Molten Ventures","Sep 23, 2022",2022/11/12
13,Fabwelt,Series A Round,"$995,000 ","Oddiyana Ventures, Chronos Ventures, ExNetwork Capital, Kommunitas, Banter Capital, Wealth Union, NFT Technologies, IBC International Blockchain Consulting, Fairum Ventures, Vespertine Capital","Nov 17, 2021",2022/11/12
14,Age Of Zalmoxis,Private Round,-,"Morningstar Ventures, RR2 Capital, SL2 Capital","Sep 23, 2022",2022/11/12
15,Immortal Game,Series A Round,"$12,000,000 ","Greenfield One, Spice Capital Partners","Sep 21, 2022",2022/11/12
16,Vulcan Forged,Series A Round,"$8,000,000 ",SkyBridge Capital,"Sep 21, 2022",2022/11/12
17,MetaFi,Seed Round,"$3,000,000 ","Maven Capital, OKX, Megala Ventures, Magnus Capital, Legion Ventures, SL2 Capital","Sep 15, 2022",2022/11/12
18,Thirdwave,Seed Round,"$7,000,000 ","Framework Ventures, Animoca Brands, Play Ventures, Shima Capital","Sep 13, 2022",2022/11/12
19,Stella Fantasy,Unknown Round,"$6,000,000 ","Krust, PathDAO, DeFiance Capital, Play Ventures, Avocado DAO, Dweb3 Capital, Double Peak","Sep 13, 2022",2022/11/12
20,Revolving Games,Seed Round,"$13,200,000 ","Pantera Capital, Animoca Brands, Polygon, Dapper Labs, Kenetic Capital, Dweb3 Capital","Sep 09, 2022",2022/11/12
21,Gameplay Galaxy,Seed Round,"$12,800,000 ","Blockchain Capital, Merit Circle Investor, Com2uS, Solana Ventures, Yield Guild Games","Sep 07, 2022",2022/11/12
22,Metaverse Magna,Seed Round,"$3,200,000 ","Tess Ventures, LD Capital, Gumi Cryptos, HashKey Capital","Sep 05, 2022",2022/11/12
23,SweatCoin,Seed Round,"$13,200,000 ","Spartan Group, Electric Capital, OKX, Jump Capital, NEAR Foundation","Jul 29, 2022",2022/11/12
24,Internet Game,Seed Round,"$7,000,000 ","ParaFi Capital, Dragonfly Capital, Delphi Digital","Sep 03, 2022",2022/11/12
25,Sprocket Games,Unknown Round,"$5,000,000 ","BITKRAFT Ventures, 1UpVentures","Aug 31, 2022",2022/11/12
26,Limit Break,Unknown Round,"$200,000,000 ","Paradigm, FTX, Coinbase Ventures","Aug 29, 2022",2022/11/12
27,Xterio,Series A Round,"$40,000,000 ","FTX, Makers Fund, HashKey Capital, Foresight Ventures, Animoca Brands","Aug 30, 2022",2022/11/12
28,Yesports,Unknown Round,"$3,800,000 ","BR Capital, NGC Ventures","Aug 23, 2022",2022/11/12
29,Ready Player Me,Series B Round,"$56,000,000 ","a16z crypto, Collab+Currency, Konvoy Ventures","Aug 23, 2022",2022/11/12
30,Gelato,Series A Round,"$11,000,000 ","Dragonfly Capital, IDEO CoLab Ventures, ParaFi Capital, D1 Venture, MetaCartel Ventures, Galaxy Digital, The Lao","Aug 17, 2021",2022/11/12
