,Name,Investor Type,Total Investment,Current ROI,Ath ROI,Top3 ROI,Time of Crawl
1,quest-capital,Crypto Ventures,1,31.61x,336.94x,PlayDapp(31.61x ),2022/11/12
2,vestigium,,1,31.61x,336.94x,PlayDapp(31.61x ),2022/11/12
3,blocore,,4,31.61x,336.94x,PlayDapp(31.61x ),2022/11/12
4,scalar-capital,Crypto Ventures,2,25.08x,"1,117x",Yield Guild Games(24.9x ),2022/11/12
5,gumi-cryptos,,4,25.08x,"1,117x",Yield Guild Games(24.9x ),2022/11/12
6,flamingodao,,2,25.08x,"1,117x",Yield Guild Games(24.9x ),2022/11/12
7,r930-capital,Crypto Ventures,2,21.43x,"1,316.16x","Blackpool(41.02x ), Last Survivor(0.09x )",2022/11/12
8,blocktower-capital,,3,20.85x,502.55x,"PlayDapp(31.61x ), Yield Guild Games(24.9x ), League of Kingdoms(5.86x )",2022/11/12
9,bitscale-capital,Crypto Ventures,10,18.42x,591.51x,"Yield Guild Games(24.9x ), My Neighbor Alice(24.6x ), Yield Guild Games(5.53x )",2022/11/12
10,sevenx-ventures,,6,15.32x,682.61x,"Yield Guild Games(24.9x ), Yield Guild Games(5.53x )",2022/11/12
11,ascensive-assets,Crypto Ventures,5,15.32x,682.61x,"Yield Guild Games(24.9x ), Yield Guild Games(5.53x )",2022/11/12
12,free-company,,3,15.32x,682.61x,"Yield Guild Games(24.9x ), Yield Guild Games(5.53x )",2022/11/12
13,btx-capital,,3,14.77x,285.08x,"My Neighbor Alice(24.6x ), X World Games(4.94x )",2022/11/12
14,rarestone-capital,Crypto Ventures,6,13.02x,266.05x,"My Neighbor Alice(24.6x ), Faraland(1.44x )",2022/11/12
15,delphi-digital,Crypto Ventures,22,12.56x,559.64x,"Yield Guild Games(24.9x ), Crypto Raiders(0.03x )",2022/11/12
16,avalanche,Project Based,5,8.8x,536.83x,"Bloktopia(32.06x ), Crabada(1.43x ), Heroes Chained(1.11x )",2022/11/12
17,coin98-ventures,Project Based,13,8.8x,184.51x,"My Neighbor Alice(24.6x ), Faraland(1.44x ), Elpis Battle(0.36x )",2022/11/12
18,animoca-brands,Project Based,77,7.9x,383.9x,"Bloktopia(32.06x ), Yield Guild Games(24.9x ), Rainmaker Games(6.91x )",2022/11/12
19,coinfund,,4,6.91x,137x,Rainmaker Games(6.91x ),2022/11/12
20,arkn,Crypto Ventures,1,6.02x,"1,555x",Geopoly(6.02x ),2022/11/12
21,kent-capital-vc,Crypto Ventures,2,6.02x,"1,555x",Geopoly(6.02x ),2022/11/12
22,sequoia-capital,Non-Crypto Capital,6,5.86x,53.7x,League of Kingdoms(5.86x ),2022/11/12
