,platform name,blockchain,current roi,ath roi,tges,raised,entry,time to crawl
1,GameFi,"['ethereum', 'solana', 'polygon', 'moonriver']",0.16x,32.1x,39,"$5,144,600 ",$158.33 ,2022/11/12
2,TrustPad,"['ethereum', 'solana', 'polygon', 'avalanche', 'enjin', 'okexchain', 'terra', 'aurora', 'celo', 'fantom', 'other']",0.12x,13.66x,39,"$7,235,094 ",$235.64 ,2022/11/12
3,Red Kite,"['ethereum', 'solana', 'polygon', 'moonriver']",0.19x,30.08x,38,"$4,987,382 ",$52.68 ,2022/11/12
4,Seedify,"['ethereum', 'solana', 'polygon', 'avalanche', 'enjin', 'fantom', 'other']",0.19x,47.3x,33,"$9,223,747 ",$316.39 ,2022/11/12
5,Enjinstarter,"['ethereum', 'solana', 'polygon', 'avalanche', 'enjin']",0.14x,39.77x,32,"$4,260,000 ",$2.15 ,2022/11/12
6,BSCStation,"['ethereum', 'polygon']",0.06x,27.03x,30,"$4,028,750 ",$104.69 ,2022/11/12
7,DAO Maker,"['ethereum', 'polygon']",0.66x,40.21x,27,"$4,051,000 ",$270.67 ,2022/11/12
8,Poolz,"['ethereum', 'polygon']",0.19x,68.28x,26,"$3,522,000 ",$288.75 ,2022/11/12
9,Gamestarter,"['solana', 'avalanche', 'aurora', 'celo', 'other']",0.14x,19.69x,22,"$3,777,475 ",$27.97 ,2022/11/12
10,Polkastarter,"['ethereum', 'polygon', 'phantasma']",0.18x,28.19x,20,"$8,441,530 ",$86.59 ,2022/11/12
11,GameStation,"['polygon', 'avalanche', 'okexchain', 'fantom']",0.08x,5.41x,20,"$2,325,679 ",$0.45 ,2022/11/12
12,BinStarter,"['ethereum', 'celo']",0.06x,32.59x,18,"$2,787,000 ",$96.82 ,2022/11/12
13,MoonStarter,"['ethereum', 'solana', 'fantom', 'other']",0.07x,7.63x,16,"$1,505,000 ",$47.03 ,2022/11/12
14,PAID Network,"['ethereum', 'solana', 'polygon', 'enjin']",0.69x,40.83x,15,"$3,195,900 ",$19.61 ,2022/11/12
15,LaunchZone,"['ethereum', 'solana']",0.17x,29.24x,15,"$4,543,920 ",$0.16 ,2022/11/12
16,BullPerks,"['ethereum', 'solana', 'polygon', 'avalanche', 'fantom']",0.1x,7.87x,14,"$2,085,000 ",$50.47 ,2022/11/12
17,DuckSTARTER,"['ethereum', 'solana', 'polygon']",0.09x,26.56x,14,"$1,344,500 ",$45.67 ,2022/11/12
18,Krystal GO,"['ethereum', 'polygon', 'avalanche']",0.09x,14.65x,13,"$2,182,876 ",-,2022/11/12
19,TruePNL,"['solana', 'polygon', 'aurora', 'other']",0.07x,5.21x,13,"$1,340,000 ",$29.48 ,2022/11/12
20,Roseon Finance,"['ethereum', 'solana', 'okexchain']",0.34x,8.51x,13,"$1,901,250 ",$11.55 ,2022/11/12
21,Kommunitas,"['ethereum', 'solana', 'polygon', 'avalanche', 'okexchain', 'heco', 'aurora', 'fantom', 'other', 'bsc']",0.11x,6.3x,12,"$1,095,000 ",$0.10 ,2022/11/12
