,游戏名称,代币名称,区块链,代币地址,游戏类型,运行平台,代币价格,24小时涨跌,代币总价值,游戏市值,设立奖学金的公会,公会合作游戏数量,爬取时间
1,The Sandbox,SAND,ethereum,0x3845badade8e6dff049820680d1f14bd3903a5d0,Metaverse,windows,$0.66 ,3.77%,"$319,989,103 ","$1,009,803,249 ",Earn Guild,68,2022/11/12
1,The Sandbox,SAND,ethereum,0x3845badade8e6dff049820680d1f14bd3903a5d0,Metaverse,windows,$0.66 ,3.77%,"$319,989,103 ","$1,009,803,249 ",Yield Guild Games,41,2022/11/12
1,The Sandbox,SAND,ethereum,0x3845badade8e6dff049820680d1f14bd3903a5d0,Metaverse,windows,$0.66 ,3.77%,"$319,989,103 ","$1,009,803,249 ",UniX Gaming,36,2022/11/12
1,The Sandbox,SAND,ethereum,0x3845badade8e6dff049820680d1f14bd3903a5d0,Metaverse,windows,$0.66 ,3.77%,"$319,989,103 ","$1,009,803,249 ",Blockchain Space,36,2022/11/12
1,The Sandbox,SAND,ethereum,0x3845badade8e6dff049820680d1f14bd3903a5d0,Metaverse,windows,$0.66 ,3.77%,"$319,989,103 ","$1,009,803,249 ",Bayz,31,2022/11/12
1,The Sandbox,SAND,ethereum,0x3845badade8e6dff049820680d1f14bd3903a5d0,Metaverse,windows,$0.66 ,3.77%,"$319,989,103 ","$1,009,803,249 ",Blackpool,17,2022/11/12
2,Decentraland,MANA,ethereum,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,Metaverse,browser,$0.52 ,4.53%,"$159,534,152 ","$941,150,595 ",Earn Guild,68,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",Cosmic Guild,15,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",GuildFi,25,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",Good Games Guild,77,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",Yield Guild Games,41,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",Hooga Gaming,10,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",UniX Gaming,36,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",Blockchain Space,36,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",Ancient8,15,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",Play It Forward DAO,25,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",Bayz,31,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",Salad Ventures,10,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",IndiGG,28,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",YGG Sea,40,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",Blackpool,17,2022/11/12
3,Axie Infinity,AXS,ethereum,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,"Breeding, Card Game, Metaverse","android,ios,windows",$7.28 ,2.62%,"$140,413,167 ","$792,207,709 ",Loot Squad,7,2022/11/12
4,Enjin Coin,ENJ,ethereum,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,Metaverse,browser,$0.36 ,2.70%,"$62,416,270 ","$362,610,290 ",,,2022/11/12
5,STEPN,GMT,solana,0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1,"Collectible, Move To Earn","browser,mobile",$0.41 ,6.73%,"$159,166,037 ","$245,190,873 ",,,2022/11/12
6,Gala Games,GALA,ethereum,0x7ddee176f665cd201f93eede625770e2fd911990,Other,"browser,mac,pc",$0.03 ,8.95%,"$160,212,980 ","$244,805,327 ",,,2022/11/12
7,Ankr,ANKR,ethereum,0xf307910a4c7bbc79691fd374889b36d8531b08e3,Other,browser,$0.02 ,5.86%,"$24,007,789 ","$187,188,749 ",,,2022/11/12
8,PlayDapp,PLA,ethereum,0x3a4f40631a4f906c2bad353ed06de7a5d3fcb430,Other,"browser,pc",$0.22 ,9.53%,"$19,681,489 ","$105,922,045 ",,,2022/11/12
9,MOBOX,MBOX,bsc,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,"RPG, Metaverse",browser,$0.52 ,4.60%,"$6,978,128 ","$83,457,450 ",Yield Guild Games,41,2022/11/12
9,MOBOX,MBOX,bsc,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,"RPG, Metaverse",browser,$0.52 ,4.60%,"$6,978,128 ","$83,457,450 ",Bayz,31,2022/11/12
10,Vulcan Forged,PYR,ethereum,0x430ef9263e76dae63c84292c3409d61c598e9682,Metaverse,browser,$3.36 ,1.42%,"$26,685,134 ","$80,286,436 ",Yield Guild Games,41,2022/11/12
10,Vulcan Forged,PYR,ethereum,0x430ef9263e76dae63c84292c3409d61c598e9682,Metaverse,browser,$3.36 ,1.42%,"$26,685,134 ","$80,286,436 ",PathDAO,39,2022/11/12
11,Illuvium,ILV,"ethereum,immutable-x",0x767fe9edc9e0df98e07454847909b5e959d7ca0e,"RPG, Auto Battler, Metaverse","windows,mac",$48.49 ,5.62%,"$9,320,416 ","$78,106,027 ",Earn Guild,68,2022/11/12
11,Illuvium,ILV,"ethereum,immutable-x",0x767fe9edc9e0df98e07454847909b5e959d7ca0e,"RPG, Auto Battler, Metaverse","windows,mac",$48.49 ,5.62%,"$9,320,416 ","$78,106,027 ",Yield Guild Games,41,2022/11/12
11,Illuvium,ILV,"ethereum,immutable-x",0x767fe9edc9e0df98e07454847909b5e959d7ca0e,"RPG, Auto Battler, Metaverse","windows,mac",$48.49 ,5.62%,"$9,320,416 ","$78,106,027 ",Merit Circle,34,2022/11/12
