,游戏名称,设立奖学金的公会,公会合作游戏数量,爬取时间
1,The Sandbox,Earn Guild,68,2022/11/12
1,The Sandbox,Yield Guild Games,41,2022/11/12
1,The Sandbox,UniX Gaming,36,2022/11/12
1,The Sandbox,Blockchain Space,36,2022/11/12
1,The Sandbox,Bayz,31,2022/11/12
1,The Sandbox,Blackpool,17,2022/11/12
2,Decentraland,Earn Guild,68,2022/11/12
3,Axie Infinity,Cosmic Guild,15,2022/11/12
3,Axie Infinity,GuildFi,25,2022/11/12
3,Axie Infinity,Good Games Guild,77,2022/11/12
3,Axie Infinity,Yield Guild Games,41,2022/11/12
3,Axie Infinity,Hooga Gaming,10,2022/11/12
3,Axie Infinity,UniX Gaming,36,2022/11/12
3,Axie Infinity,Blockchain Space,36,2022/11/12
3,Axie Infinity,Ancient8,15,2022/11/12
3,Axie Infinity,Play It Forward DAO,25,2022/11/12
3,Axie Infinity,Bayz,31,2022/11/12
3,Axie Infinity,Salad Ventures,10,2022/11/12
3,Axie Infinity,IndiGG,28,2022/11/12
3,Axie Infinity,YGG Sea,40,2022/11/12
3,Axie Infinity,Blackpool,17,2022/11/12
3,Axie Infinity,Loot Squad,7,2022/11/12
4,Enjin Coin,,,2022/11/12
5,STEPN,,,2022/11/12
6,Gala Games,,,2022/11/12
7,Ankr,,,2022/11/12
8,PlayDapp,,,2022/11/12
9,MOBOX,Yield Guild Games,41,2022/11/12
9,MOBOX,Bayz,31,2022/11/12
10,Vulcan Forged,Yield Guild Games,41,2022/11/12
10,Vulcan Forged,PathDAO,39,2022/11/12
11,Illuvium,Earn Guild,68,2022/11/12
11,Illuvium,Yield Guild Games,41,2022/11/12
11,Illuvium,Merit Circle,34,2022/11/12
11,Illuvium,Bayz,31,2022/11/12
12,Radio Caca,,,2022/11/12
13,My Neighbor Alice,Earn Guild,68,2022/11/12
14,Ultra,,,2022/11/12
15,Alien Worlds,Earn Guild,68,2022/11/12
16,SweatCoin,,,2022/11/12
17,Clash Of Lilliput,,,2022/11/12
18,UFO Gaming,Merit Circle,34,2022/11/12
19,Aavegotchi,Yield Guild Games,41,2022/11/12
19,Aavegotchi,YGG Sea,40,2022/11/12
19,Aavegotchi,Blackpool,17,2022/11/12
20,Step App,,,2022/11/12
21,Gods Unchained,Blackpool,17,2022/11/12
22,StarLink,,,2022/11/12
23,Guild Of Guardians,Yield Guild Games,41,2022/11/12
24,DeFi Kingdoms,UniX Gaming,36,2022/11/12
25,League Of Kingdoms,Earn Guild,68,2022/11/12
25,League Of Kingdoms,Yield Guild Games,41,2022/11/12
25,League Of Kingdoms,Avocado DAO,33,2022/11/12
25,League Of Kingdoms,PathDAO,39,2022/11/12
25,League Of Kingdoms,IndiGG,28,2022/11/12
26,Splinterlands,Yield Guild Games,41,2022/11/12
26,Splinterlands,UniX Gaming,36,2022/11/12
26,Splinterlands,Blockchain Space,36,2022/11/12
27,Decentral Games,,,2022/11/12
28,Wilder World,,,2022/11/12
29,Phantasma,,,2022/11/12
30,Somnium Space,,,2022/11/12
31,MixMarvel,,,2022/11/12
32,Victoria VR,,,2022/11/12
33,Cornucopias,,,2022/11/12
34,OVR,,,2022/11/12
35,BOSAGORA,,,2022/11/12
36,Magic Craft,,,2022/11/12
37,DeRace,,,2022/11/12
38,Sipher,Cosmic Guild,15,2022/11/12
38,Sipher,GuildFi,25,2022/11/12
38,Sipher,Yield Guild Games,41,2022/11/12
38,Sipher,Merit Circle,34,2022/11/12
38,Sipher,UniX Gaming,36,2022/11/12
38,Sipher,Perion,9,2022/11/12
38,Sipher,Avocado DAO,33,2022/11/12
38,Sipher,Ancient8,15,2022/11/12
38,Sipher,Play It Forward DAO,25,2022/11/12
38,Sipher,Salad Ventures,10,2022/11/12
38,Sipher,IndiGG,28,2022/11/12
38,Sipher,YGG Sea,40,2022/11/12
38,Sipher,Loot Squad,7,2022/11/12
